Timestamp (microseconds)      Peak Amplitude
1699174861189170                  85
1699174861315920                  81
1699174861387780                  86
1699174861526340                  83
1699174861974610                  89
1699174862894680                 375
1699174862896570                 510
1699174862923390                 204
1699174862925880                 131
1699174863636970                  83
1699174863753220                  87
1699174864282010                  81
1699174864422170                  87
1699174864424520                 109
1699174864438160                 179
1699174864450540                 109
1699174864460210                 157
1699174864464090                 104
1699174864481080                 179
1699174864484610                 192
1699174864492460                  97
1699174864508800                 116
1699174864512090                 124
1699174864530470                 146
1699174864533280                 219
1699174864550770                 118
1699174864557680                 253
1699174864565220                 254
1699174864580820                 297
1699174864584680                 462
1699174864594470                 201
1699174864605110                 176
1699174864616880                 212
1699174864621450                 147
1699174864639440                 212
1699174864645050                 160
1699174864657920                 177
1699174864662690                 242
1699174864676070                 167
1699174864685450                 140
1699174864699310                 136
1699174864708250                 148
1699174864712660                 181
1699174864728690                 171
1699174864738290                 433
1699174864739890                 377
1699174864756460                 210
1699174864763100                 234
1699174864769650                 156
1699174864786290                 117
1699174864798480                 101
1699174864807280                 163
1699174864809800                 104
1699174864822400                 113
1699174864838200                  97
1699174864842730                  88
1699174864856410                  92
1699174864866760                  83
1699174864877380                  81
1699174864879660                  92
1699174864911000                  85
1699174865018800                  83
1699174865275020                 625
1699174865275610                 585
1699174865290610                 116
1699174865302070                 209
1699174865306090                 101
1699174865924880                  83
1699174866094560                  85
1699174866156520                  91
1699174866240880                  97
1699174866261170                  89
1699174866280980                  85
1699174866289950                  85
1699174866324800                  94
1699174866331900                  89
1699174866459270                  84
1699174866573420                  82
1699174866601460                  92
1699174866616320                  86
1699174866693880                  86
