Timestamp (microseconds)      Peak Amplitude
1699174861189170                  85
1699174861315920                  81
1699174861387780                  86
1699174861526340                  83
1699174861974610                  89
1699174862894680                 375
1699174862896570                 510
1699174862923390                 204
1699174862925880                 131
1699174863636970                  83
1699174863753220                  87
1699174864282010                  81
1699174864422170                  87
1699174864424520                 109
1699174864438160                 179
1699174864450540                 109
1699174864460210                 157
1699174864464090                 104
1699174864481080                 179
1699174864484610                 192
1699174864492460                  97
1699174864508800                 116
1699174864512090                 124
1699174864530470                 146
1699174864533280                 219
1699174864550770                 118
1699174864557680                 253
1699174864565220                 254
1699174864580820                 297
1699174864584680                 462
1699174864594470                 201
1699174864605110                 176
1699174864616880                 212
1699174864621450                 147
1699174864639440                 212
1699174864645050                 160
1699174864657920                 177
1699174864662690                 242
1699174864676070                 167
1699174864685450                 140
1699174864699310                 136
1699174864708250                 148
1699174864712660                 181
1699174864728690                 171
1699174864738290                 433
1699174864739890                 377
1699174864756460                 210
1699174864763100                 234
1699174864769650                 156
1699174864786290                 117
1699174864798480                 101
1699174864807280                 163
1699174864809800                 104
1699174864822400                 113
1699174864838200                  97
1699174864842730                  88
1699174864856410                  92
1699174864866760                  83
1699174864877380                  81
1699174864879660                  92
1699174864911000                  85
1699174865018800                  83
1699174865275020                 625
1699174865275610                 585
1699174865290610                 116
1699174865302070                 209
1699174865306090                 101
1699174865924880                  83
1699174866094560                  85
1699174866156520                  91
1699174866240880                  97
1699174866261170                  89
1699174866280980                  85
1699174866289950                  85
1699174866324800                  94
1699174866331900                  89
1699174866459270                  84
1699174866573420                  82
1699174866601460                  92
1699174866616320                  86
1699174866693880                  86
1699174867193400                  92
1699174867477520                  84
1699174867653980                 777
1699174867657850                 123
1699174867674650                 172
1699174867681030                 192
1699174868270660                  81
1699174870032650                 634
1699174870046660                  85
1699174870055660                 187
1699174870059940                 190
1699174870492590                 102
1699174870503110                  95
1699174870509170                 187
1699174870521810                 148
1699174870527070                 151
1699174870535440                 102
1699174870549400                 171
1699174870554120                 172
1699174870570880                 139
1699174870577350                 221
1699174870583360                 125
1699174870599100                 123
1699174870608370                 178
1699174870619370                 218
1699174870624920                 409
1699174870632870                 268
1699174870651170                 260
1699174870653510                 325
1699174870671850                 201
1699174870673110                 216
1699174870686550                 270
1699174870695970                 164
1699174870704370                 165
1699174870715080                 143
1699174870731400                 257
1699174870731560                 234
1699174870744400                 153
1699174870752340                 165
1699174870761310                 129
1699174870777970                 182
1699174870781630                 198
1699174870799470                 205
1699174870805030                 379
1699174870811510                 389
1699174870827160                 128
1699174870838090                 168
1699174870845540                 188
1699174870854910                 161
1699174870868040                 151
1699174870877700                 111
1699174870887150                 120
1699174870891600                 104
1699174870900260                  92
1699174870916220                  84
1699174870922700                  92
1699174870950140                  85
1699174871188530                  85
1699174871315280                  81
1699174871387140                  86
1699174871525700                  83
1699174871973970                  89
1699174872894040                 375
1699174872895930                 510
1699174872922750                 204
1699174872925240                 131
1699174873636330                  83
1699174873752580                  87
1699174874281370                  81
1699174874421530                  87
1699174874423880                 109
1699174874437520                 179
1699174874449900                 109
1699174874459570                 157
1699174874463450                 104
1699174874480440                 179
1699174874483970                 192
1699174874491820                  97
1699174874508160                 116
1699174874511450                 124
1699174874529830                 146
1699174874532640                 219
1699174874550130                 118
1699174874557040                 253
1699174874564580                 254
1699174874580180                 297
1699174874584040                 462
1699174874593830                 201
1699174874604470                 176
1699174874616240                 212
1699174874620810                 147
1699174874638800                 212
1699174874644410                 160
1699174874657280                 177
1699174874662050                 242
1699174874675430                 167
1699174874684810                 140
1699174874698670                 136
1699174874707610                 148
1699174874712020                 181
1699174874728050                 171
1699174874737650                 433
1699174874739250                 377
1699174874755820                 210
1699174874762460                 234
1699174874769010                 156
1699174874785650                 117
1699174874797840                 101
1699174874806640                 163
1699174874809160                 104
1699174874821760                 113
1699174874837560                  97
1699174874842090                  88
1699174874855770                  92
1699174874866120                  83
1699174874876740                  81
1699174874879020                  92
1699174874910360                  85
1699174875018160                  83
1699174875274380                 625
1699174875274970                 585
1699174875289970                 116
1699174875301430                 209
1699174875305450                 101
1699174875924240                  83
1699174876093920                  85
1699174876155880                  91
1699174876240240                  97
1699174876260530                  89
1699174876280340                  85
1699174876289310                  85
1699174876324160                  94
1699174876331260                  89
1699174876458630                  84
1699174876572780                  82
1699174876600820                  92
1699174876615680                  86
1699174876693240                  86
1699174877192760                  92
1699174877476880                  84
1699174877653340                 777
1699174877657210                 123
1699174877674010                 172
1699174877680390                 192
1699174878270020                  81
