Timestamp (microseconds)      Peak Amplitude
1699174861189170                  85
1699174861315920                  81
1699174861387780                  86
1699174861526340                  83
1699174861974610                  89
1699174862894680                 375
1699174862896570                 510
1699174862923390                 204
1699174862925880                 131
1699174863636970                  83
1699174863753220                  87
1699174864282010                  81
1699174864422170                  87
1699174864424520                 109
1699174864438160                 179
1699174864450540                 109
1699174864460210                 157
1699174864464090                 104
1699174864481080                 179
1699174864484610                 192
1699174864492460                  97
1699174864508800                 116
1699174864512090                 124
1699174864530470                 146
1699174864533280                 219
1699174864550770                 118
1699174864557680                 253
1699174864565220                 254
1699174864580820                 297
1699174864584680                 462
1699174864594470                 201
1699174864605110                 176
1699174864616880                 212
1699174864621450                 147
1699174864639440                 212
1699174864645050                 160
1699174864657920                 177
1699174864662690                 242
1699174864676070                 167
1699174864685450                 140
1699174864699310                 136
1699174864708250                 148
1699174864712660                 181
1699174865018800                  83
1699174865271720                 106
1699174865275020                 625
1699174865290610                 116
1699174865300360                 155
1699174865302070                 209
1699174865924880                  83
1699174866094560                  85
1699174866095530                  83
1699174866156520                  91
1699174866240880                  97
1699174866261170                  89
1699174866280980                  85
1699174866289950                  85
1699174866324800                  94
1699174866459270                  84
1699174866573420                  82
1699174866598030                  86
1699174866601460                  92
1699174866616320                  86
1699174866693880                  86
1699174867193400                  92
1699174867477520                  84
1699174867652560                 483
1699174867653980                 777
1699174867672310                 138
1699174867681030                 192
1699174867682970                 102
1699174868270660                  81
1699174870032650                 634
1699174870033480                 428
1699174870052950                 149
1699174870059940                 190
1699174870063600                  82
1699174870492590                 102
1699174870509170                 187
1699174870509560                 160
1699174870527070                 151
1699174870531560                 104
1699174870548110                 156
1699174870554120                 172
1699174870562400                 119
1699174870577350                 221
1699174870579270                 177
1699174870595180                 106
1699174870608370                 178
1699174870613820                 177
1699174870624920                 409
1699174870628640                 309
1699174870647490                 214
1699174870653510                 325
1699174870658550                 175
1699174870673110                 216
1699174870686550                 270
1699174870688350                 252
1699174870704370                 165
1699174870709890                 165
1699174870727330                 182
1699174870731400                 257
1699174870744400                 153
1699174870752340                 165
1699174870758730                 163
1699174870777050                 130
1699174870781630                 198
1699174870791360                 138
1699174870805030                 379
1699174870811510                 389
1699174870826470                 119
1699174870827160                 128
1699174870845540                 188
1699174870854910                 161
1699174870862970                 123
1699174870868040                 151
1699174870877700                 111
1699174870887150                 120
1699174870900260                  92
1699174870907870                  84
